"Datum","CH-Firma","CH-CIK","Atombombenhersteller","Wert in USD"
20140331,"UBS AG",1114446,"BOEING CO",370421000
20140331,"UBS AG",1114446,"BOEING CO",60216000
20140331,"UBS AG",1114446,"BOEING CO",15222000
20140331,"UBS AG",1114446,"BOEING CO",13552000
20140331,"UBS AG",1114446,"BOEING CO",6654000
20140331,"UBS AG",1114446,"BOEING CO",6551000
20140331,"UBS AG",1114446,"BOEING CO",166000
20140331,"UBS AG",1114446,"BOEING CO",75000
20140331,"UBS AG",1114446,"FLUOR CORP NEW",19599000
20140331,"UBS AG",1114446,"FLUOR CORP NEW",15904000
20140331,"UBS AG",1114446,"FLUOR CORP NEW",7602000
20140331,"UBS AG",1114446,"FLUOR CORP NEW",1158000
20140331,"UBS AG",1114446,"FLUOR CORP NEW",614000
20140331,"UBS AG",1114446,"FLUOR CORP NEW",8000
20140331,"UBS AG",1114446,"GENERAL DYNAMICS CORP",24036000
20140331,"UBS AG",1114446,"GENERAL DYNAMICS CORP",2309000
20140331,"UBS AG",1114446,"GENERAL DYNAMICS CORP",1828000
20140331,"UBS AG",1114446,"GENERAL DYNAMICS CORP",1786000
20140331,"UBS AG",1114446,"GENERAL DYNAMICS CORP",1039000
20140331,"UBS AG",1114446,"GENERAL DYNAMICS CORP",893000
20140331,"UBS AG",1114446,"HONEYWELL INTL INC",78400000
20140331,"UBS AG",1114446,"HONEYWELL INTL INC",10628000
20140331,"UBS AG",1114446,"HONEYWELL INTL INC",5197000
20140331,"UBS AG",1114446,"HONEYWELL INTL INC",3349000
20140331,"UBS AG",1114446,"HONEYWELL INTL INC",2402000
20140331,"UBS AG",1114446,"HONEYWELL INTL INC",201000
20140331,"UBS AG",1114446,"HONEYWELL INTL INC",60000
20140331,"UBS AG",1114446,"HUNTINGTON INGALLS INDS INC",2076000
20140331,"UBS AG",1114446,"HUNTINGTON INGALLS INDS INC",213000
20140331,"UBS AG",1114446,"HUNTINGTON INGALLS INDS INC",51000
20140331,"UBS AG",1114446,"HUNTINGTON INGALLS INDS INC",37000
20140331,"UBS AG",1114446,"HUNTINGTON INGALLS INDS INC",31000
20140331,"UBS AG",1114446,"LOCKHEED MARTIN CORP",32555000
20140331,"UBS AG",1114446,"LOCKHEED MARTIN CORP",2906000
20140331,"UBS AG",1114446,"LOCKHEED MARTIN CORP",2874000
20140331,"UBS AG",1114446,"LOCKHEED MARTIN CORP",2253000
20140331,"UBS AG",1114446,"LOCKHEED MARTIN CORP",2001000
20140331,"UBS AG",1114446,"LOCKHEED MARTIN CORP",216000
20140331,"UBS AG",1114446,"NORTHROP GRUMMAN CORP",13963000
20140331,"UBS AG",1114446,"NORTHROP GRUMMAN CORP",8578000
20140331,"UBS AG",1114446,"NORTHROP GRUMMAN CORP",1774000
20140331,"UBS AG",1114446,"NORTHROP GRUMMAN CORP",308000
20140331,"UBS AG",1114446,"NORTHROP GRUMMAN CORP",70000
20140331,"UBS AG",1114446,"NORTHROP GRUMMAN CORP",25000
20140331,"UBS AG",1114446,"TEXTRON INC",4320000
20140331,"UBS AG",1114446,"TEXTRON INC",640000
20140331,"UBS AG",1114446,"TEXTRON INC",67000
20140331,"Zurcher Kantonalbank (Zurich Cantonalbank)",1368163,"BOEING CO",6735000
20140331,"Zurcher Kantonalbank (Zurich Cantonalbank)",1368163,"FLUOR CORP NEW",2427000
20140331,"Zurcher Kantonalbank (Zurich Cantonalbank)",1368163,"GENERAL DYNAMICS CORP",2461000
20140331,"Zurcher Kantonalbank (Zurich Cantonalbank)",1368163,"HONEYWELL INTL INC",4320000
20140331,"Zurcher Kantonalbank (Zurich Cantonalbank)",1368163,"LOCKHEED MARTIN CORP",3174000
20140331,"Zurcher Kantonalbank (Zurich Cantonalbank)",1368163,"NORTHROP GRUMMAN CORP",5611000
20140331,"Zurcher Kantonalbank (Zurich Cantonalbank)",1368163,"TEXTRON INC",694000
20140331,"ROBECOSAM AG",1418427,"FLUOR CORP NEW",800000
20140331,"ROBECOSAM AG",1418427,"HONEYWELL INTL INC",7298000
20140331,"GAM Holding AG",1438848,"BOEING CO",10710000
20140331,"GAM Holding AG",1438848,"FLUOR CORP NEW",9362000
